,COUNTRY_CODE,NUTS_ID,fraction_land_necessary,resampling
0,AT,AT111,0.008022185916420375,max
1,AT,AT112,0.009304031340160673,max
2,AT,AT211,0.05183750496145442,max
3,AT,AT212,0.044784883505787985,max
4,AT,AT213,0.020168468856114466,max
5,AT,AT221,0.09276784869684788,max
6,AT,AT113,0.014125096677459249,max
7,AT,AT121,0.027546279991681407,max
8,AT,AT122,0.041653942844513285,max
9,AT,AT123,0.021542074992113032,max
10,AT,AT124,0.011420257675208293,max
11,AT,AT125,0.005987609774975194,max
12,AT,AT126,0.01438828848050178,max
13,AT,AT127,0.02116732580815583,max
14,AT,AT130,0.34019632668463823,max
15,AT,AT222,0.08144099336880253,max
16,AT,AT223,0.08051056944119261,max
17,AT,AT224,0.028932689217969605,max
18,AT,AT312,0.040099884546824525,max
19,AT,AT313,0.02656053969880021,max
20,AT,AT314,0.028823984853690508,max
21,AT,AT315,0.03629337044289697,max
22,AT,AT321,0.020164827885117222,max
23,AT,AT225,0.03010449285382036,max
24,AT,AT226,0.031411057664624736,max
25,AT,AT311,0.01588767781796224,max
26,BE,BE211,0.08369256371571117,max
27,BE,BE212,0.04286239353859964,max
28,BE,BE213,0.03076402171014416,max
29,BE,BE221,0.043013389594455345,max
30,BE,BE222,0.04226738830025651,max
31,BE,BE223,0.02550399480579226,max
32,AT,AT322,0.06464326178528478,max
33,AT,AT323,0.08822978935364015,max
34,AT,AT331,0.05493111898872286,max
35,AT,AT332,0.139198301078085,max
36,AT,AT333,0.06028772976488231,max
37,AT,AT334,0.08065747391292377,max
38,AT,AT335,0.06618563719413383,max
39,AT,AT341,0.09591199390315455,max
40,AT,AT342,0.09447425648851385,max
41,BE,BE100,0.42699407414529,max
42,BE,BE231,0.035939894118445885,max
43,BE,BE232,0.03610028664660178,max
44,BE,BE233,0.013299092191507508,max
45,BE,BE234,0.0315705137400583,max
46,BE,BE235,0.021960285655892198,max
47,BE,BE242,0.034700897067165073,max
48,BE,BE251,0.029306762654160483,max
49,BE,BE252,0.008048140561310826,max
50,BE,BE253,0.009865863229819052,max
51,BE,BE254,0.03537378880071252,max
52,BE,BE255,0.02774622099743259,max
53,BE,BE256,0.024752769758478226,max
54,BE,BE257,0.013948024518843652,max
55,BE,BE258,0.010633115448299115,max
56,BE,BE310,0.027370184466368762,max
57,BE,BE321,0.027406981353825886,max
58,BE,BE322,0.05232412778207164,max
59,BE,BE323,0.04528575431351984,max
60,BE,BE324,0.037564853864253345,max
61,BE,BE325,0.02321399213796753,max
62,BE,BE326,0.01687010838491172,max
63,BE,BE327,0.01938300748047905,max
64,BE,BE236,0.033071176753352444,max
65,BE,BE241,0.044258242318451026,max
66,BE,BE331,0.027432494433190385,max
67,BE,BE332,0.08749723605809792,max
68,BE,BE334,0.01059647018721697,max
69,BE,BE335,0.07388024327785828,max
70,BE,BE336,0.06584112091479317,max
71,BE,BE341,0.057018642652557516,max
72,BE,BE342,0.1632838796374542,max
73,BE,BE343,0.032272973327041786,max
74,BE,BE344,0.027197687009756902,max
75,BE,BE345,0.045330533598729315,max
76,BE,BE351,0.02234815520203234,max
77,BE,BE352,0.02376531309432469,max
78,BE,BE353,0.016132470997312093,max
79,BG,BG312,0.003204261171625424,max
80,BG,BG313,0.0035761216281021096,max
81,BG,BG314,0.004179665982869518,max
82,BG,BG315,0.00854464022100197,max
83,BG,BG321,0.006795636595298781,max
84,BG,BG322,0.0166708316878787,max
85,BG,BG323,0.008991696781255437,max
86,BG,BG324,0.005297686491280447,max
87,BG,BG325,0.004578980117567399,max
88,BG,BG311,0.0030699535264238583,max
89,BG,BG331,0.015264070240907228,max
90,BG,BG332,0.0019824465816357766,max
91,BG,BG333,0.005507062164677038,max
92,BG,BG334,0.007549599166065003,max
93,BG,BG341,0.008286977390521904,max
94,BG,BG342,0.005517062583018091,max
95,BG,BG343,0.002847663693813828,max
96,BG,BG344,0.005076783124959768,max
97,BG,BG411,0.07503760414759415,max
98,BG,BG412,0.013411341617012754,max
99,BG,BG413,0.02458183614664292,max
100,BG,BG414,0.013843116227931627,max
101,BG,BG415,0.013461744420546418,max
102,BG,BG421,0.008693044388825915,max
103,CH,CH064,0.09059864452864541,max
104,BG,BG422,0.008898088804183408,max
105,BG,BG423,0.010376440400462723,max
106,BG,BG424,0.03708325182895626,max
107,BG,BG425,0.023989623374446246,max
108,CY,CY000,0.00762589850505559,max
109,CZ,CZ010,0.13265552677358292,max
110,CZ,CZ020,0.012504714778460864,max
111,CZ,CZ031,0.010709851907029323,max
112,CZ,CZ032,0.01336037597608881,max
113,CZ,CZ041,0.01961013643847061,max
114,CZ,CZ042,0.021645232148595716,max
115,CZ,CZ071,0.013369444373937719,max
116,CZ,CZ080,0.031051781040756253,max
117,CZ,CZ051,0.03885298953456979,max
118,CZ,CZ052,0.01271008022964697,max
119,CZ,CZ053,0.011686111031755072,max
120,CZ,CZ072,0.03112656652524017,max
121,CZ,CZ063,0.011373997322166988,max
122,CZ,CZ064,0.017426688136787,max
123,CH,CH013,0.16904858347182342,max
124,CH,CH011,0.06559239894539388,max
125,CH,CH012,0.08809115539581658,max
126,CH,CH022,0.06219878153525325,max
127,CH,CH023,0.08150566176739711,max
128,CH,CH024,0.08035521964972915,max
129,CH,CH025,0.029412054360490426,max
130,CH,CH031,0.326015389834496,max
131,CH,CH032,0.1599025178014848,max
132,CH,CH033,0.10686354311691171,max
133,CH,CH040,0.17928687238537053,max
134,CH,CH051,0.10565277409207115,max
